DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4550,8.5,8.8016,1.2455,3.9572,86.3576,86.1071,0.3612,10,0.0093,0.0092,0.0301
4550.5,8.5,8.7941,1.2186,3.93,86.2149,80.1508,0.3764,10,0.012,0.0172,0.0301
4551,8.5,8.8167,1.1971,3.901,86.3624,82.148,0.3866,10,100000,100000,0.0301
4551.5,8.5,8.8167,1.1892,3.8806,86.451,79.3722,0.4158,10,0.0242,0.0323,0.0301
4552,8.5,8.8167,1.1985,3.8749,86.3992,77.8143,0.4141,10,100000,100000,0.0301
4552.5,8.5,8.8054,1.2109,3.879,86.6374,74.1985,0.3939,10,100000,100000,0.0301
4553,8.5,8.8054,1.2156,3.883,88.3437,76.5353,0.4065,10,0.0315,0.0465,0.0301
4553.5,8.5,8.8016,1.2016,3.8797,81.3729,80.7954,0.4267,10,100000,100000,0.0301
4554,8.5,8.7941,1.1824,3.8755,71.7927,84.2314,0.4266,10,0.004,100000,0.0302
4554.5,8.5,8.8167,1.1785,3.8821,80.0247,82.6735,0.4241,10,100000,100000,0.0316
4555,8.5,8.8167,1.2098,3.9161,87.4665,84.6282,0.4231,10,100000,100000,0.0322
4555.5,8.5,8.8054,1.2849,4.0419,89.1875,86.3906,0.461,10,100000,100000,0.0331
4556,8.5,8.7941,1.4018,4.2842,90.5626,84.8177,0.4595,10,0.0439,0.0558,0.0319
4556.5,8.5,8.7941,1.5225,4.5029,89.5442,80.3452,0.4855,10,0.0575,0.07,0.0322
4557,8.5,8.8054,1.5953,4.6288,89.4714,77.7883,0.4554,10,0.0988,0.1514,0.0427
4557.5,8.5,8.8016,1.5832,4.5495,90.1951,78.1928,0.4884,10,100000,100000,0.0433
4558,8.5,8.8279,1.4942,4.3311,89.4029,82.2775,0.4722,10,0.0787,0.1287,0.0501
4558.5,8.5,8.8317,1.3797,4.0876,79.2794,83.8509,0.4445,10,100000,100000,0.0538
4559,8.5,8.8317,1.2916,3.921,87.7197,84.3647,0.4024,10,100000,100000,0.1417
4559.5,8.5,8.8392,1.2476,3.887,87.8558,81.1343,0.4008,10,0.0513,0.06,0.3538
4560,8.5,8.8317,1.2332,3.875,89.4228,76.4606,0.3888,10,100000,100000,0.0985
4560.5,8.5,8.8167,1.2284,3.8612,89.8415,74.7784,0.4153,10,0.0114,0.0129,0.0456
4561,8.5,8.8167,1.2286,3.8543,88.2221,74.7546,0.4298,10,0.0134,0.011,0.0312
4561.5,8.5,8.8167,1.2315,3.8552,87.8998,76.5722,0.4237,10,0.0451,0.0635,0.0301
4562,8.5,8.8167,1.2363,3.8648,87.7602,73.3266,0.3972,10,0.0116,0.0128,0.0311
4562.5,8.5,8.8167,1.2362,3.8733,87.7649,77.545,0.4097,10,0.012,0.0135,0.0329
4563,8.5,8.8279,1.2331,3.8757,87.9381,74.8187,0.4297,10,0.0118,0.0133,0.0328
4563.5,8.5,8.8392,1.2254,3.875,88.0339,77.6748,0.4569,10,0.0119,0.0134,0.036
4564,8.5,8.8392,1.2227,3.8774,88.0023,76.5795,0.435,10,0.0116,0.013,0.0461
4564.5,8.5,8.8167,1.2215,3.884,87.7744,81.6982,0.4179,10,0.0113,0.0127,0.0465
