,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
0,4600.0,1,0.2914707142857143,0.03772425003198295,1.0,0,0,0
1,4600.5,1,0.35517714285714286,0.06190835837953087,0.7792083989901334,0,0,0
2,4601.0,0,0.3913428571428571,0.039960295238095175,0.9465604098771739,0,0,0
3,4601.5,0,0.4301714285714286,0.05580979913419906,0.7582311265134146,0,0,0
4,4602.0,0,0.4922728571428571,0.06825286463203457,0.6688006564425684,0,0,0
5,4602.5,0,0.5079192857142857,0.07757467664502155,0.5585540579454159,0,0,0
6,4603.0,0,0.4755821428571429,0.0707570009740259,0.594015545429511,0,0,0
7,4603.5,0,0.4126192857142857,0.05712904331168828,0.6680961179673652,0,0,0
8,4604.0,0,0.375645,0.04547287681818177,0.716622803673705,0,0,0
9,4604.5,0,0.4312364285714285,0.04501038080086573,0.8680006923282659,0,0,0
10,4605.0,0,0.5471164285714286,0.04683097595238096,0.9821926576029638,0,0,0
11,4605.5,0,0.6668135714285714,0.044559744956709946,1.0,0,0,0
12,4606.0,0,0.7382635714285714,0.03848078586580081,1.0,0,0,0
13,4606.5,0,0.7429,0.04896935454545448,0.8942079645843183,0,0,0
14,4607.0,0,0.6387314285714285,0.06302069852813846,0.6317608696859723,0,0,0
15,4607.5,0,0.4690328571428571,0.06742238826839828,0.49265701045196797,0,0,0
16,4608.0,0,0.32699357142857144,0.07424103404761907,0.46929476636218476,0,0,0
17,4608.5,0,0.23542642857142856,0.07598397383116882,0.3004616934027646,0,0,0
18,4609.0,0,0.17793285714285717,0.0735583488744588,0.2894764113475125,0,0,0
19,4609.5,0,0.11164357142857143,0.073733881017316,0.2997016117203511,1,0,0
20,4610.0,0,0.10607928571428571,0.06980402452380953,0.26870678449713065,1,0,0
21,4610.5,0,0.1459542857142857,0.06411522528138527,0.2331528950287863,1,0,0
22,4611.0,0,0.1958864285714286,0.05408322777056279,0.25656902007329163,0,0,0
23,4611.5,0,0.19032214285714286,0.051470037943722985,0.33644359776179744,0,0,0
24,4612.0,0,0.1458114285714286,0.05041716034632035,0.3508309700654419,1,0,0
25,4612.5,0,0.12945428571428574,0.05843796770562769,0.4591360319188529,1,0,0
26,4613.0,0,0.2071835714285714,0.06727305132034635,0.6680546768626352,0,0,0
27,4613.5,0,0.28971428571428576,0.08685144588744585,0.5900329110115761,0,0,0
28,4614.0,0,0.3235157142857143,0.10748527199134196,0.495090461486203,0,0,0
29,4614.5,0,0.29252357142857144,0.11798917313852818,0.49232483168555197,0,0,0
30,4615.0,0,0.2648885714285714,0.12519987298701296,0.4663080383143422,0,0,0
31,4615.5,0,0.28885285714285713,0.11567109917748916,0.4984883365483305,0,0,0
32,4616.0,0,0.34772214285714287,0.10398465006493501,0.5243543502677603,0,0,0
33,4616.5,0,0.4137042857142857,0.0902107783116883,0.5184961977123009,0,0,0
34,4617.0,0,0.4739992857142857,0.07797953240259742,0.6498648809462009,0,0,0
35,4617.5,0,0.5306728571428572,0.06308847675324677,0.806218583581091,0,0,0
36,4618.0,0,0.6132178571428571,0.05417592023809517,0.7496498098583755,0,0,0
37,4618.5,0,0.6022164285714285,0.0641129547402598,0.6778538592347617,0,0,0
38,4619.0,0,0.5651242857142857,0.07392872558441563,0.5562636303850113,0,0,0
39,4619.5,0,0.5184171428571429,0.07809253142857148,0.502118741365693,0,0,0
40,4620.0,0,0.48596071428571425,0.07458331244588742,0.5305538829769777,0,0,0
41,4620.5,0,0.4442321428571428,0.0784756661255411,0.5084060113752042,0,0,0
42,4621.0,0,0.36869142857142856,0.0841232403463203,0.4632891000463665,0,0,0
43,4621.5,0,0.3933428571428571,0.08080896190476183,0.45691643816678135,0,0,0
44,4622.0,0,0.38761357142857145,0.07928496919913412,0.4265703307532555,0,0,0
45,4622.5,0,0.41215214285714286,0.07276935582251079,0.4179776556089082,0,0,0
46,4623.0,0,0.3763728571428571,0.07710869190476184,0.37134380096213365,0,0,0
47,4623.5,0,0.3783928571428571,0.07701426948051951,0.376740908863065,0,0,0
48,4624.0,0,0.3950842857142858,0.07887217649350647,0.37675497586937096,0,0,0
49,4624.5,0,0.4181585714285714,0.07513889753246755,0.3709251673186964,0,0,0
50,4625.0,0,0.40981285714285715,0.0687894894805195,0.3985897809075862,0,0,0
51,4625.5,0,0.3651392857142857,0.06857254512987006,0.4140376905899899,0,0,0
52,4626.0,0,0.29848142857142856,0.07617158489177484,0.38273621248283446,0,0,0
53,4626.5,0,0.30219071428571426,0.08012636365800865,0.42062440376316385,0,0,0
54,4627.0,0,0.3181171428571429,0.08490553445887439,0.3935830079650936,0,0,0
55,4627.5,0,0.3691192857142857,0.07810690694805189,0.3796483880656678,0,0,0
56,4628.0,0,0.3950842857142858,0.07089035831168831,0.41067871414147067,0,0,0
57,4628.5,0,0.4747171428571429,0.060717952640692574,0.5659701931289453,0,0,0
58,4629.0,0,0.5281828571428572,0.05774170493506496,0.6332608607409457,0,0,0
59,4629.5,0,0.5797335714285714,0.05811661647186145,0.6063959279365537,0,0,0
60,4630.0,0,0.5705764285714287,0.06638898746753244,0.5973833049140067,0,0,0
61,4630.5,0,0.5625492857142858,0.07665940058441553,0.5692451514937759,0,0,0
62,4631.0,0,0.5119257142857143,0.09093040017316012,0.5176498664390752,0,0,0
63,4631.5,0,0.44701357142857145,0.10251188435064927,0.5068130347935409,0,0,0
64,4632.0,0,0.36540999999999996,0.11525970393939389,0.47005528753162074,0,0,0
65,4632.5,0,0.32730714285714285,0.11204927900432902,0.46461462818516414,0,0,0
66,4633.0,0,0.34029000000000004,0.10039475363636358,0.49812448746558186,0,0,0
