Northing,Easthing,Elevation
3633018,381122,1061
3634918,416572,1117
3635068,395272,1036
3651318,410472,949
3660618,405772,918
3654668,361872,1610
3651768,370222,1573
3645068,393072,972
3635018,383222,1043
3626768,377822,1158
3632968,409222,1129
3643518,363322,1635
3623018,410072,1288
3640368,373122,1126
3663368,383622,1137
3657618,380972,0
3649518,404272,918
3628968,364522,1153
3627868,362172,1202
3661468,392122,1058
3662268,399722,991
3646568,379872,1145
3627118,399772,1138
3632068,378172,1070
3650968,380022,1196
3644118,377022,1094
3635018,370872,1052
3648218,404222,919
3634918,363572,1097
3648418,399322,899
3632518,390072,1099
3647568,406772,948
3664318,394172,1074
3649418,395622,956
3651368,409922,945
3662668,396772,1011
3660968,385672,1161
3649668,385772,1230
3639868,380172,1029
3647568,405822,943
3636918,412522,1094
3624968,414522,1257
3664018,371572,1372
3621068,386622,1254
3620118,412722,1334
3647418,394072,963
3628218,390772,1245
3660718,396722,1023
3653318,416022,929
3633668,379272,1046
3642118,362472,1686
3627768,373722,1138
3657318,382222,1185
3630518,402272,1149
3664368,404822,957
3659768,362522,1638
3664268,364622,1560
3639318,415472,1065
3636468,413272,1095
3657768,413722,900
3622518,384872,1237
3624818,390272,1230
3627368,361422,1216
3633468,398822,1077
3657868,391122,1085
3649218,377522,1230
3656918,400522,927
3665268,416622,848
3648018,367922,1382
3627718,410122,1195
3654268,369722,1690
3662618,415672,864
3640868,407072,1031
3645368,366022,1443
3625368,411922,1242
3637718,414572,1088
3622068,383622,1217
3648618,382922,1382
3643368,376972,1089
3638318,389322,1131
3638918,403622,1039
3638168,401472,1006
3646668,363172,1572
3663168,382972,1134
3656468,381922,1199
3660168,397222,1005
3630568,391622,1143
3660818,378972,1301
3623268,400772,1182
3628918,406422,1170
3656868,361472,1644
3649518,406072,941
3646368,416622,1000
3658968,394972,99999
3665918,401122,1008
3650218,386022,1259
3662118,403272,963
3654818,362922,1607
3622218,394272,1254
3665718,380122,1234
3659318,385472,1205
3637318,395022,1018
3659818,401422,948
3632918,389372,1093
3645418,407322,976
3620218,401472,1237
3634568,375072,1036
3624418,365772,1211
3640968,400572,970
3634168,377772,1039
3645468,369072,1229
3632718,407022,1115
3624418,363822,1227
3645168,403822,987
3647668,414072,983
3649468,417372,966
3622168,400722,1204
3645568,404622,968
3657068,378472,1275
3633618,380672,1051
3646618,369972,1239
3646268,392222,977
3629218,391822,1196
3651268,394222,997
3653168,396372,968
3661918,387472,1091
3641518,417272,1042
3646718,378672,1138
3630418,382872,1094
3663618,378772,1255
3623368,379872,1240
3631618,399172,1105
3652618,370822,1617
3648568,384772,1231
3655718,403572,904
3638468,411072,1067
3620668,398622,1245
3621918,365772,1238
3627918,409172,1182
3626868,371172,1128
3621168,412922,1305
3653268,391222,1357
3626418,367672,1177
3631068,378322,1088
3663618,382922,1159
3635768,376422,1035
3651668,366772,1630
3641468,407822,1024
3627668,369472,1155
3624468,409872,1244
3621518,406922,1277
3623968,401372,1197
3645668,367372,1328
3636018,394772,1034
3621568,403172,1264
3661218,399622,967
3649018,362272,1531
3655368,363722,1591
3655068,397072,958
3645068,396322,917
3653318,402922,895
3631418,410472,1149
3653268,411372,931
3654768,374672,1480
3657868,368722,1547
3649118,388572,1074
3632368,389672,1099
3622418,416722,1300
3638518,361822,1607
3664618,375372,1302
3623368,388172,1224
3650768,378272,1214
3655568,382122,1196
3623368,396672,1251
3664768,409022,910
3639718,397472,991
3647268,378222,1157
3631418,403672,1142
3626118,417472,1248
3639718,415472,1058
3629868,416172,1182
3621868,382472,1210
3665318,403822,972
3637768,363372,1235
3632968,367522,1052
3656518,404822,904
