t,x,y
50,329365.108,4358562.104
220,402708.003,4344547.635
110,347930.603,4233132.61
250,438919.908,4242709.163
340,371275.334,4344314.061
1010,449029.831,4276110.314
150,405465.254,4333336.06
70,374216.402,4301803.506
-10000,452889.983,4326795.975
40,430464.336,4256490.058
130,361900.678,4255088.611
120,437449.374,4296431.293
1440,382671.974,4253453.589
1080,325504.956,4299934.91
130,445169.678,4327730.273
120,413737.009,4234767.631
180,346092.435,4287088.314
70,371459.15,4298299.889
50,344254.267,4379350.232
300,347562.969,4334737.507
90,410612.124,4360197.125
350,324218.239,4317452.996
70,423295.482,4384488.871
80,319439.002,4244110.61
110,343335.183,4370941.551
50,353077.473,4276577.463
130,387267.393,4263497.292
30,378628.005,4371642.275
120,380833.806,4390094.658
210,410612.124,4322358.06
60,324953.506,4363233.594
230,400502.201,4218417.418
2430,391127.546,4220986.737
280,441860.976,4272606.696
970,423111.665,4327496.699
330,398296.4,4252519.291
650,370172.433,4380751.679
50,382488.157,4306942.145
150,377892.738,4273073.845
320,357672.892,4283584.697
70,395355.332,4334036.784
110,355650.908,4289657.633
90,352158.389,4252752.866
210,366312.281,4399671.212
170,447743.113,4222621.758
200,333960.528,4374211.594
120,397377.316,4230329.716
160,381936.707,4272139.547
420,392965.713,4359029.253
60,390392.279,4328898.145
60,465021.89,4315817.975
300,395539.148,4345715.508
250,387818.844,4234767.631
360,379914.722,4258125.079
70,358224.342,4325628.103
70,352342.206,4313715.804
80,410795.941,4303438.527
370,438184.641,4210008.737
580,388921.744,4356693.508
1190,421089.68,4331701.039
360,440941.892,4296664.868
640,430648.153,4303905.676
350,380282.356,4218417.418
-10000,413185.559,4237103.376
750,348665.87,4217015.971
110,347562.969,4315584.4
590,437633.19,4310212.187
110,347746.786,4337773.976
910,361900.678,4227993.971
210,370172.433,4230096.142
40,360613.961,4326328.826
400,428626.168,4264898.739
110,350136.404,4325628.103
130,432853.954,4252285.717
180,403075.636,4321190.188
250,372194.418,4349919.848
80,360797.777,4294796.272
130,341680.832,4244811.334
240,403259.453,4295496.995
2040,362268.312,4266066.611
810,407487.239,4355992.785
330,416126.627,4237103.376
40,331938.543,4252285.717
110,353812.74,4369773.679
40,427155.634,4361364.998
80,406751.972,4260694.398
110,343702.817,4369072.955
330,423479.298,4271672.399
170,427339.451,4271905.973
160,331570.91,4333569.635
280,388186.477,4363467.168
80,382855.791,4276110.314
80,377157.471,4303905.676
350,342048.466,4349919.848
10,345540.985,4373510.87
80,432486.321,4279380.356
120,355099.457,4360197.125
90,350504.038,4280081.08
50,336901.596,4232431.886
1820,419435.329,4329598.869
170,460610.288,4276811.037
50,459875.02,4310212.187
380,341313.199,4220052.439
410,364841.746,4400605.51
430,464470.44,4293161.25
100,346827.702,4292460.527
2010,439838.992,4243409.887
540,393884.797,4353657.04
900,332489.994,4265599.462
1530,367047.548,4252752.866
260,372929.685,4356927.083
70,377341.287,4313715.804
310,364841.746,4226358.95
440,443882.961,4299467.761
140,374400.219,4326795.975
580,426971.817,4299934.91
770,409509.223,4351788.444
130,324402.055,4320022.315
130,401237.468,4345715.508
980,410428.307,4348284.827
250,375319.303,4327963.847
80,335798.696,4287088.314
140,396825.866,4248081.376
120,343335.183,4320255.89
30,333409.077,4296431.293
100,403627.086,4316752.273
520,435243.572,4312547.932
240,427155.634,4274708.867
100,399031.667,4265365.888
90,429177.619,4349686.274
130,341129.382,4398036.191
200,340026.481,4213512.354
80,460242.654,4318153.719
230,366863.731,4274241.718
490,443515.327,4222388.184
120,333592.894,4259526.526
110,365393.197,4318854.443
140,333041.444,4374678.743
100,337636.863,4309978.613
120,435059.755,4283117.548
500,330468.009,4214913.801
340,418700.062,4287321.889
70,327526.941,4244344.185
250,427339.451,4280314.654
50,390392.279,4329598.869
90,411715.025,4234767.631
420,437817.007,4304839.974
230,343335.183,4288256.186
510,408406.323,4277278.186
190,410244.49,4283584.697
20,324402.055,4398036.191
140,381752.89,4246212.781
160,385613.042,4368138.658
80,356386.175,4356927.083
280,372745.868,4389861.084
290,449765.098,4295730.57
400,411898.841,4223322.482
140,337453.047,4210943.035
240,329365.108,4386357.467
100,381017.623,4246212.781
580,411347.391,4211643.758
220,420905.864,4266767.335
450,456198.685,4245745.632
50,361349.228,4351321.295
390,321644.804,4219351.716
100,385245.409,4332168.188
90,386899.76,4235468.355
470,349401.137,4271205.25
480,461713.188,4286154.016
250,352158.389,4243176.312
60,333409.077,4241307.717
670,446824.029,4300168.485
30,390208.462,4269570.228
180,386532.126,4368138.658
150,366312.281,4282883.973
180,453809.067,4217249.545
470,380833.806,4381218.828
920,449765.098,4264898.739
90,361349.228,4321190.188
90,461713.188,4316985.847
790,413369.376,4338941.848
560,459323.57,4252519.291
200,331387.093,4331934.614
80,352526.022,4299467.761
520,441860.976,4222388.184
240,377892.738,4266533.76
610,388554.111,4244811.334
0,413553.192,4382620.275
40,388186.477,4336606.103
40,333041.444,4233833.333
540,360430.144,4399671.212
9999,363922.663,4265132.313
440,388002.66,4249015.674
70,444618.228,4330533.167
640,437633.19,4304372.825
270,381752.89,4324226.656
170,326424.04,4324226.656
370,403994.72,4352956.317
220,436346.473,4301102.783
20,401421.285,4366270.062
480,446456.396,4213278.779
180,324953.506,4352022.019
400,425317.466,4297365.591
110,452706.166,4323058.783
20,339658.848,4344547.635
40,464102.806,4211176.609
280,460426.471,4285219.718
570,413920.826,4336372.529
100,341129.382,4299934.91
30,448478.38,4327496.699
20,347011.519,4371175.126
130,406384.338,4218884.567
70,351974.572,4314182.953
30,333041.444,4230096.142
270,436530.29,4260460.824
1760,442044.793,4229395.418
50,383774.875,4299234.187
600,454911.967,4247847.802
130,381569.073,4392897.552
70,454911.967,4334503.933
160,409693.04,4284518.995
130,355650.908,4344080.486
260,367047.548,4270738.101
350,400502.201,4258125.079
100,359511.06,4318620.868
190,423846.932,4283117.548
250,446272.579,4314883.677
1120,436897.923,4237336.95
240,459507.387,4296431.293
160,364290.296,4232198.312
160,460426.471,4291526.229
210,386164.493,4315817.975
140,452338.533,4333336.06
820,383407.241,4215848.099
160,428074.718,4227293.248
80,331754.726,4350386.997
200,426052.733,4279146.782
60,412634.109,4351321.295
440,393333.347,4382386.701
250,397744.95,4261395.122
140,379547.089,4300635.634
100,356937.625,4257891.504
70,381017.623,4393831.85
140,457669.219,4325394.528
180,457117.769,4208840.864
10,415942.811,4379116.658
360,442963.877,4290124.782
150,402524.186,4311613.634
120,328078.391,4282416.824
360,368518.082,4348751.976
60,443699.144,4341277.593
290,359327.243,4401072.659
220,433956.855,4256723.632
230,331019.459,4281949.676
80,346092.435,4349452.699
70,384142.508,4389627.509
10,433221.588,4345248.359
100,366679.914,4321190.188
270,462632.272,4216315.248
310,412817.925,4242942.738
210,407119.605,4338941.848
90,356753.808,4352255.593
330,368701.899,4228694.695
230,370356.25,4229395.418
420,445721.129,4292694.101
80,354180.373,4395233.297
10,418700.062,4374678.743
330,329548.925,4300402.059
220,365025.563,4363000.019
90,331938.543,4375613.041
100,360430.144,4222388.184
20,434324.488,4344547.635
30,331019.459,4343613.337
40,358591.976,4390561.807
110,389105.561,4278212.484
200,384877.775,4262796.568
160,398296.4,4253453.589
